UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
mah,@maah_080,2024-02-05T23:55:09.000Z,Lgbt,0,0,0
panggil ray's aja,@jeowantt,2024-02-05T23:51:29.000Z,Selama mondok Alhamdulillah yang gak ada kekerasan sih cuma senioritasnya tinggi banget bangett  sama lgbt ,0,0,0
Mr.akate,@pemakan_naga65,2024-02-05T23:48:49.000Z,"Bertolak belakang Pks sendiri mau memasukan lgbt dalam pidana dalam konteks penyimpangan seksual, tapi dalam kalimat terakhir akan melindungi lgbt. lol ",0,0,0
Malikisme,@SacredUse,2024-02-05T23:46:39.000Z,"Iya RUU ketahanan keluarga memiliki nilai yg cenderung terlalu konservatif bagi beberapa pihak terutama ttg masalah surogasi,LGBT, pelarangan donor sperma,dsb. Arah partai yg menurut gw jelas hanya PKS, antara akar rumput & elitnya tegak lurus berada di pihak konservatif islamis.",0,0,0
michel,@mjolicoeurjr,2024-02-05T23:42:28.000Z,LGBT,0,0,0
trelemorele,@mirela_kubica,2024-02-05T23:39:29.000Z,LGBT to wirus?,0,0,0
tania,@vanteania,2024-02-05T23:31:32.000Z,lgbt contohnya yg selalu disingkirin karena dianggep gak bisa kasih suara ,0,0,0
Kyroll Herrera,@KyrollH35595,2024-02-05T23:30:18.000Z,"Podcast ni mmg mengarut. Haritu jemput lgbt, anak ikan bagai. Demi sesuap nasi sanggup buat kontent xde otak.",0,0,0
Nofri,@Nofri30424483,2024-02-05T23:26:22.000Z,Kaum LGBT kan ngmpul di elu semua,0,0,0
iel,@husseyzstan,2024-02-05T23:19:02.000Z,WOY GUE KIRA FILM INDIA GAADA UNSUR LGBT NYA,0,0,0
Anak Nepotisme Ndeso,@baladatemp81441,2024-02-05T23:07:54.000Z,"LGBT bukan penyakit, harus dihukum MATI  !!!",0,0,0
rockerkids,@ErwinRockerkids,2024-02-05T22:59:32.000Z,Memed representasi penjilat dan kaum LGBT yg lagi berjuang supaya gak di banned rakyat Indonesia,0,0,0
panglima kumbang,@panglima3190,2024-02-05T22:55:45.000Z,LGBT,0,0,0
