UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
愛原、Satomi.,@notasingleguilt,2024-04-25T23:58:39.000Z,Habis ini putar LGBT by Cupcakke.,0,0,0
Ngkong Yuppi,@Johan46650559,2024-04-25T23:48:15.000Z,"Itu pola fikir Atheis lgbt,karena mereka lupa  kehidupan  ahirnya,kasihan, orang tuanya ",0,0,0
nini,@nalocatk,2024-04-25T23:33:00.000Z,LGBT,0,0,0
bintang,@FardiantoDewi,2024-04-25T23:32:14.000Z,Kelompok pecundang banci banci lgbt,0,0,0
Basri Limbong,@desmodromici1,2024-04-25T23:31:23.000Z,"Miris, slogan ""Bogor kota ber IMAN"" hanya angan². Nyatanya sarang narkoba, intoleran, dan LGBT",0,0,0
Oling,@sushangjawa,2024-04-25T23:06:17.000Z,"ytta 
kalo aku td liatnya org pake pp manhwa lesbi (bahkan ada nsfw scene nya) tp dia bilang kaum lgbt emang nekat"" ",0,0,0
Hassan Babaji ➐,@iamhassan_91,2024-04-25T22:59:20.000Z,Su WhatsApp an koma LGBT kenan ,0,0,0
Kakung,@arismaya,2024-04-25T22:52:53.000Z,"Judi Juara, Pasar Narkoba, LGBT, Hedon, KKN ... Semua Lembaga Negara membusuk. hancur Negara ini. Astaghfirullah ...",0,0,0
Raban Cilik,@Araghutama,2024-04-25T22:41:36.000Z,Astaghfirullah!,0,0,0
Anti LGBT,@baryonmodeee,2024-04-25T22:26:30.000Z,Kata bung towel ya,0,0,0
Tracy Dunn,@tracychapeldunn,2024-04-25T22:07:37.000Z,LGBT,0,0,0
Anti LGBT,@baryonmodeee,2024-04-25T22:04:46.000Z,Jama'ah sholat subuh muka nya semringah semua,0,0,0
Lord of the lords,@izmirfucker,2024-04-25T21:47:31.000Z,chp = pedofili+lgbt,0,0,0
JFC_Iman,@FTS_Iman1106,2024-04-25T21:22:22.000Z,Lgbt_prop,0,0,0
Faiz,@kiritonagi_,2024-04-25T21:21:27.000Z,"APAPUN YG TERJADI JANGAN UDANG TOWEL KE PODCAST LU MAT, DONT MAKE STUPID PEOPLE FAMOUS. SOALNYA DI TEMPAT BAPAK PODCAST INDO SEKARANG NGUNDANG ORANG2 TOLOL LGBT.",0,0,0
Anti LGBT,@baryonmodeee,2024-04-25T21:15:24.000Z,Jangan begitu bang towel gak suka,0,0,0
Anti LGBT,@baryonmodeee,2024-04-25T21:14:47.000Z,"Assalamualaikum selamat pagi, izin masuk rada telat yaaa
#AFCU23",0,0,0
Ritchie Sandiego,@SanRi70842,2024-04-25T21:13:12.000Z,"Ya gak lah gobblokkk, dari tenaga (lahir batin) aja beda... Maksa banget anjing, lgbt taek",0,0,0
ste FBI do diego | time amaury,@filhadimaury,2024-04-25T21:07:00.000Z,drama lgbt Dih,0,0,0
Veil of Sorrow,@pic4safari,2024-04-25T21:06:55.000Z,LGBT+ ,0,0,0
yuşa tunçsan,@TuncsanYusa,2024-04-25T21:00:25.000Z,LGBT ci iktidar kaz kuyunu,0,0,0
Socialist Stanley,@OwenJonesStan,2024-04-25T20:54:30.000Z,LGBT flag.,0,0,0
cemre,@petiuen,2024-04-25T20:31:09.000Z,allah lgbt nin belasini versin sus,0,0,0
М. AGRIPPA L. F. COS. TERTIVM FECIT,@DrDespera,2024-04-25T20:25:06.000Z,Kas par LGBT?,0,0,0
Olivier Lenge,@lenge_olivier,2024-04-25T18:49:43.000Z,LGBT,0,0,0
