UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Lofi Ramli,@LofiRamli,2024-02-17T23:59:03.000Z,Di sebuah negara yg diberi nama Geneva mmg lepas cembering kena join kelas lgbt ,0,0,0
abby. ⚤,@garnetsmoon,2024-02-17T23:50:02.000Z,lgbt,0,0,0
𝑑𝑒𝑛𝑖 ഽ𝑎𝑐𝑜,@densatjo,2024-02-17T23:48:42.000Z,"Dan saat ini prabowo dihajar buzzer² kurap SJW lgbt, liberal, komunis yg kecewa karena capres WEF mrk tumbang. Buzzers yg juga pemuja vaksin. Emang satu gerombolan. Itu yg gw lawan. Gw bela prabowo, demi kepentingan umat. 
Elu masih nyolot? Silakan kalo mao gw blokir ",0,0,0
rockerkids,@ErwinRockerkids,2024-02-17T23:38:54.000Z,"Lu mana ngerti agama si med,lu ja LGBT",0,0,0
LeeloRAR,@DJ_Luvly,2024-02-17T23:37:18.000Z,"Yang dipenjara 2th karena blasphemy AHOK
Yang disalahin AB. 

LGBT minta disahkan ? Dinegara kafir & liberal sekalipun juga ditolak & banyak ditentang.",0,0,0
Name cannot be blank,@rydyoga,2024-02-17T23:28:11.000Z,"Lah ngapain minta maaf, wong yang gerakkin massa bukan dia wkwk
Justru dia ajak debat Ahok di Metro tv terkait pernyataan2 Ahok yang ga perlu. Face 2 face.
Soal LGBT, dia bakal melindungi kaum LGBT sebagai warga negara. Kurang apa lagi? Mau didukung Anies secara personal?",0,0,0
FUCK YOU LGBT,@alfian_warsito,2024-02-17T23:24:40.000Z,Hus hus pergi sana,0,0,0
Mani Lyrical,@imran_saleem907,2024-02-17T23:23:38.000Z,"Imran khan ne. Hamaishaaa haq ka sath dia woh alaggg baat hai uss ne bajwaaa ka dosra naam haq rakhaaa huwa tha or Ajj b imran khannn bahaduron ki list main hai G oooo Qom e youth 

LGBT pro max walay phir b ussi ko defend krty thy  
Jaisiii awamm waisyy hukmaran",0,0,0
Madao,@alvifadhollah,2024-02-17T23:23:06.000Z,"Harapan dia, Pak Anies bakal menjawab, ""Selama ini saya mendukung lgbt, dan kalau saya diberi kewenangan, kami akan halalkan pernikahan sesama jenis di negeri ini. Karena dua alasan, pertama, hak asasi manusia, kedua, sebenarnya saya juga bengkok cyiiiin"".",0,0,0
,@honjokim,2024-02-17T23:20:16.000Z,lgbt,0,0,0
FUCK YOU LGBT,@alfian_warsito,2024-02-17T23:19:44.000Z,Pecinta batang di larang cangkeman ,0,0,0
Koala Iconoclasm,@galaxiadice,2024-02-17T23:15:33.000Z,Eterno CS LGBT kkkk,0,0,0
mei,@mellinda_fauzia,2024-02-17T23:10:19.000Z,"Yo ndak tau ko tanya saya, saya kan ga lgbt wkwk begitulah kira kira. Atau ""oh ada yah yg lgbt?, saya kurang tau masalah itu. Nanti saya kaji kembali. -end",0,0,0
𝙍𝙞,@mfwsadeli,2024-02-17T23:04:34.000Z,"I really wondering, kalo pertanyaan soal LGBT itu kemarin juga ditanyain ke Prabowo, Gibran, Ganjar, Mahfud, itu kira-kira jawabannya akan seperti apa ya?",0,0,0
isal aja,@DrieIsal54884,2024-02-17T22:59:40.000Z,Wah ada kaum LGBT komen,0,0,0
Mahasiswa Tinder,@SwipeMatch,2024-02-17T22:59:17.000Z,"@Ranaditya
 tanya juga ke paslon yg menang ttg lgbt ? Gmn ? Apa cuma mau mendiskreditkan calon trtntu?",0,0,0
Agus AS,@PallakaGO,2024-02-17T22:29:40.000Z,"Makanya para pembawa LGBT perlu dikerasi, agar tidak membuat banyak org tersesat.
memang tabiat kalian senang melihat susah dan tersesat",0,0,0
Pedro| woman's world 11/7,@lipaswonder2,2024-02-17T22:20:20.000Z,Lgbt,0,0,0
Nadhi ʚɞ,@chenjipie,2024-02-17T22:13:24.000Z,"Dan buat LGBT, as muslim dia jelas menolak LGBT. Tp as pemimpin dia akan melindungi hak lu as warga negara. Acuan dia Pancasila sila pertama yg menjunjung tinggi ajaran agama. Dan di agama, LGBT dilarang. Ujung2nya jawaban yg kalian minta itu mau Pak Anies melegalkan kan?",0,0,0
Nadhi ʚɞ,@chenjipie,2024-02-17T21:56:14.000Z,"Dan sorry ya Lutfi, jawaban Pak Anies terkait LGBT itu udh jelas. Di Indonesia, sampe skrng LGBT itu dilarang. Gak hanya Islam aja tp agama lain juga. As pemimpin dia bakal ngelindungin hak2 mereka sebagai warga negara. Lu maunya dia jawab apa? Melegalkan LGBT?",0,0,0
jeri,@heeseungbicha,2024-02-17T21:51:55.000Z,lgbt,0,0,0
fantastic mr fox,@franceesha,2024-02-17T21:25:16.000Z,knkkkk ben bu lgbt gurubundan cikiom kizlarbana bakmio hdi byeeee,0,0,0
Oma Icha /热依扎,@rizahariati,2024-02-17T21:24:27.000Z,"THANK GOD!!

Kebayang kampanye LGBT ato HAM ato apa yg menunjukkan betapa disini muslim fanatik dan radikal, yang akan terjadi kalo ada promotor yg bawa Swift dimari.

Baguslah. Soalnya peminat pariwisata singapore melorot karena orangnya rasis dan kasar. Makanannya pun ga enak.",0,0,0
Nabil Jabbour,@NabilJabbour2,2024-02-17T21:17:25.000Z,LGBT+,0,0,0
TunSakau,@aburajasultan,2024-02-17T21:11:22.000Z,"@rafiziramli
 ...

mcmana Biro Politik PKR / PH blh terlepas pandang menda² ni.

skrg masih nmpak ""suci murni"" lah.mcm tazkirah² / khutbah² sblm pru 15 tu.
sebut ""ancaman thadap islam / lgbt"" secara general. tak nama kan sesapa. tp minggu akhir ngundi.
petik nama kat pasar malam.",0,0,0
rajaei,@muhdrajaei,2024-02-17T20:45:57.000Z,Kaya betul lawyer2 ni. Boleh habis duit demi program lgbt untuk 1 minggu di hotel. Wow.,0,0,0
Romi Suparman,@RomiSuparman_,2024-02-17T20:45:52.000Z,"Dr kata ndut kita belajar diluar sana tuh dingin, sedingin kutub
Ada doxxing beberin alamat kita
Ada makan buat ternak
Ada body shaming
Ada lgbt

Udah yg bener dunia ga seperti yg kita inginkan, benang ke benang ke benang berikutnya, cmn gara2 ini gratis coy eh taunya malah begh",0,0,0
SecangkirJerukPanas,@SituSotoSato,2024-02-17T20:45:50.000Z,Di lingkungan pesantren jg banyak lgbt. Mau overglorify jd anak ustad dan lingkungan pesantren?,0,0,0
Sagrado Varcelos,@VarcelosXD,2024-02-17T20:36:32.000Z,lgbt,0,0,0
Green Bnuuy Hours,@MikhaBun,2024-02-17T20:31:40.000Z,LGBT,0,0,0
Makary Maximilien Àime Skarbek Manners-Sutton,@MakarySkarbek,2024-02-17T20:31:01.000Z,To tak jak Lgbt.,0,0,0
Hisk.,@Hisk55,2024-02-17T20:20:00.000Z,Lgbt ciler cildiriyor su an,0,0,0
Lopasarah,@Lopasarah242583,2024-02-17T19:59:46.000Z,"Disuruh makan camilan ritual LGBT...
Ampun dah masih kecil gitu dicekokin emaknya LGBT? Mau jadi apa anak anak itu nanti?  Jadi badut jalanan pd generasi nya ",0,0,0
kat,@brookheimerbaby,2024-02-17T19:42:31.000Z,Lgbt,0,0,0
"Son Goku (love y’all, slight hiatus.)",@SonGoku_cevo,2024-02-17T19:39:24.000Z,Lgbt,0,0,0
laura⸆⸉,@evermrelover,2024-02-17T19:33:58.000Z,mega lgbt,0,0,0
laura⸆⸉,@evermrelover,2024-02-17T19:33:40.000Z,lgbt,0,0,0
mr.Ekinosk,@MrEkinokss,2024-02-17T19:05:53.000Z,LGBT'li mi bu?,0,0,0
kiu,@milkiuat,2024-02-17T18:49:35.000Z,untuk lgbt keknya bisaa,0,0,0
Dipta Pratisara,@diptapratisara,2024-02-17T18:45:03.000Z,"Lgbt, msh dpt haknya sebagai rakyat, hak msl, dirawat d rs, bpjs, hak pake angkutan umum ,dll. Tp klo minta hak utk d akui utk negara, ya maaf, ga bisa. Liat pancasila aja udh.",0,0,0
M4Rc3_joestar☆,@M4Rc3_joestar,2024-02-17T18:27:30.000Z,Scott pilgrin wea sobrevalorada solo por ser lgbt,0,0,0
Thiru San,@ShanmugamThiru5,2024-02-17T18:23:49.000Z,LGBT...gang,0,0,0
ahmad,@syhmshkr,2024-02-17T18:08:53.000Z,So kakak dah pergi kursus lgbt ke belum ,0,0,0
Niky Rz,@niky__23,2024-02-17T18:07:19.000Z,dia ngaku part of LGBT dan itu bener apa nggak ya nggak tahu. ally kalau dia heteroseksual tapi support lgbt,0,0,0
Mehmet Nazif,@TrDilranBaba,2024-02-17T18:05:18.000Z,lgbt sonumuzu getirecek,0,0,0
Niky Rz,@niky__23,2024-02-17T18:04:28.000Z,"semenjak bl mengglobal, perusahaan disana emang sengaja kok memanfaatkan orang lgbt buat cari uang dan menggunakan couple mereka sebagai mesin pencari uang. kebanyakan gimik tapi kesetaraan pernikahan lgbt belum juga legal. kan bangsaat juga ditunda terus",0,0,0
Niky Rz,@niky__23,2024-02-17T17:55:36.000Z,char pernah bilang dia part of lgbt. entah omongan dia itu benar apa nggak ya nggak tahu sih.kalau engfa jelas dia biseksual dan sering belain fans lgbt yang dihina sama hater,0,0,0
Niky Rz,@niky__23,2024-02-17T17:54:25.000Z,yang paling berdampak sebenarnya orang2 lgbt sih.udah identitas kita dipinjam habis itu hanya queerbaiting ! ya kalau mereka queer orang nggak akan marah sih.tapi kalau ternyata bukan queer lalu pura pura queer ini penghinaan namanya,0,0,0
,@zjmtodd,2024-02-17T17:26:32.000Z,lgbt,0,0,0
🆄🅻🅸🅲 🆁🅴🆂🅸🆂🆃,@the_resistor32,2024-02-17T17:10:52.000Z,"Takde maknanya aku nak goyang dengan geng2 pelangi, ah long yg bakar kereta ngek koh hamburger tu pun kene kasi bebas dah nak goyang apenye??? Lain kali follow lah story dari A-Z baruah pelangi Oiii, nak cakap orang cermin dulu diri tu lgbt laknat Oiii...",0,0,0
Abcdefaizinchenko,@NikMohdFaizi,2024-02-17T17:10:26.000Z,"Freemason, lgbt & kristinisasi tajuk yang paling muda nak jual kepada melayu yang malas berfikir.",0,0,0
Aftab Hussain,@AftabHussa33957,2024-02-17T17:07:06.000Z,Lgbt wale gandagi se bachane ke liye  mai andhbhakton ka samarthan karunga,0,0,0
Origin,@Cestorigin,2024-02-17T16:54:22.000Z,pk dislike lgbt meme,0,0,0
elio ; thank you Toriyama-sensei,@phantomrvsh,2024-02-17T16:50:17.000Z,tak rasa dosa ke menipu terang-terangan macam ni where thousands of people can easily fact check by the simple fact that they ARE LAWYERS. Balik2 LGBT jugak yang kena. At this point LGBT tu jauh lagi mulia dari ustazah babi macam ni,0,0,0
∮,@QuantumVortex0,2024-02-17T16:29:16.000Z,"Bro dur rahiyo inse , Mai bhi pehle LGBT activist, fake feminist walo se bohut argue karta tha but inse dur rehna hj accha hai",0,0,0
Bhumihar,@Ritesh85085,2024-02-17T16:23:17.000Z,LGBT community jindabad,0,0,0
Seorang Apit,@FreakyFriz,2024-02-17T16:23:04.000Z,"Tapi bagus org jugak org kulit hitam naik jadi tuan dkt amerika tu. Aku tgk omputeh byk yg dh rosak sbb lgbt. 20,30tahun lg, tentera amerika byk la bapok.",0,0,0
kk 2. Tur çekil,@1903Amogus65796,2024-02-17T16:18:06.000Z,Lgbt olmasa sen,0,0,0
TL,@ence2001,2024-02-17T16:17:17.000Z,Lgbt,0,0,0
Nortujortunhamp,@bakugone11,2024-02-17T16:16:10.000Z,"""Kenapa Prabowo gak ditanya soal LGBT?""

dia buka ruang bicara aja kagak.",0,0,0
Aurora,@Hitonomia,2024-02-17T16:10:15.000Z,"""dangerous precedent"" lgbt",0,0,0
Icam,@Icambae,2024-02-17T16:09:16.000Z,"Diantara program Great Research milik Globalis Charles Schwab cs. adalah depopulasi manusia melalui perang, virus, dan lgbt. 2030 targetnya 1/2 M.",0,0,0
GUOBLOCK,@TukangNgeyelans,2024-02-17T16:05:22.000Z,klo udah 2juta gak boleh ada yg hamil punya anak ya?LGBT kabeh dong w,0,0,0
naaainaa,@nainaanrrii,2024-02-17T16:00:48.000Z,"LURAS LURUS LURAS LURUSS LGBT MBOK GAE LURUSSS AJORRR DONYOO MBAAAA MBAAA, IDOL MU NORMAL MOK KONGKON BELOK I YOK OPOOO",0,0,0
rockerkids,@ErwinRockerkids,2024-02-17T15:59:12.000Z,LGBT lu ya demen kontol,0,0,0
Dreamyme,@Jaejalleeyeol_,2024-02-17T15:44:19.000Z,"Waduuh monmaap mbak ini gimana konsepnya yaa ""lebih lurus kaum LGBT"" 
Miris sekali :) mbaknya kayaknya harus memperbanyak literasi deh  bukan maksud diskriminasi tapi tidak boleh dinormalisasikan hal yg jelas"" itu menyimpang ",0,0,0
Tacaa,@kimcaaa_,2024-02-17T15:42:35.000Z,"kata ""lebih lurus kaum lgbt"" aja udah salah mba, ya tuhan capek banget",0,0,0
æla,@fleaurty,2024-02-17T15:37:59.000Z,"lebih lurus? lo sehat kah???? udah jelas lah yang nggak lurus itu kaum LGBT lol. idol nya normal2 aja malah dibelokin, gws ya",0,0,0
lie,@Dandelions_2002,2024-02-17T15:30:22.000Z,"Mereka ga bakal peduli ka yg penting jangan junjungan nya yg di kata"" in, mereka ga liat aja mas didit di bilang boti terus lgbt lah, & lebih parah pa prab dikatain pincang di sumpahin mati sama stroke, padahal semua pendukung ada aja yg toxic tapi bagi mereka 02 tetep salah.",0,0,0
amoy,@aduriable,2024-02-17T15:25:19.000Z,Jauhilah hts dan lgbt,0,0,0
AbulMuiZ,@ZkMZ2020,2024-02-17T15:21:45.000Z,"Konfem2 senyap.banyak pulak kes2 sugar dady,dady cool dan LGBT serta bapak ibu ayam promosi persundalan dlm negara ni",0,0,0
A R D,@zeydpm,2024-02-17T15:17:33.000Z,"Ada cewek Lesbi yang fanatik sama 01 sampe pas pengumuman quick count kmrn bilang ""Selamat menikmati 5 tahun pembungkaman"" eh pas gua tanya Kok bisa Lesbi tapi dukung 01 yg notabene satu kubu dengan konservatif yang anti bgt sama LGBT malah merembet ke masalah lain ",0,0,0
amoy,@aduriable,2024-02-17T15:15:30.000Z,"Ayo kita semua, menjadi anak baik
Jauhilah hts dan juga lgbt
Jangan beda agama, karena itu sakit
Lah situ ngapa suka sama segender

Mari banyak ibadah dan juga beristighfar
Mencintai rosulmu dan Tuhanmu selalu
Kita semua bisa berubah dengan cepat

Mari semua keluar dari dunia",0,0,0
Dell,@myluvinjun,2024-02-17T15:14:08.000Z,masa lo dikasi hadiah sama lawan jenis fine fine aja padahalkan udah punya pasangan?? ya walaupun dia lgbt. ya tolak dong pikirin juga tu boti kalo dia tau juga pasti sakit ati kan emang topitanya aja yg ngang ngong itu,0,0,0
catsitter amatir,@brputar,2024-02-17T14:57:56.000Z,Setiap gw melihat cishet ngomong yg aneh2 soal lgbt gara2 ship gepeng gw melangkah mendekat ke jurang,0,0,0
Bukhori,@amadbukhori,2024-02-17T14:57:32.000Z,Tuan tak join ke geng kawan peguam dia yang bayar ratus ribu untuk lawan lgbt tu?,0,0,0
Yand33,@andy__1983,2024-02-17T14:57:32.000Z,Anda ingin Anies jadi bulan²nan yg Anti LGBT?,0,0,0
zelle,@zavasweetie,2024-02-17T14:52:52.000Z,LGBT (Loh Gak Bahaya Tah?),0,0,0
not eika,@itseiyka,2024-02-17T14:41:23.000Z,ye la lgbt je haram. kahwin 4 aniaya bini tak bayar nafkah anak semua halal :),0,0,0
Kiaaaaaaa.,@jenniepriok,2024-02-17T14:40:23.000Z,"Cut off, gue sgt sgt menolak lgbt.",0,0,0
chami *ೃ༄,@chamiced,2024-02-17T14:32:46.000Z,AS IF THE GOV IS GOING TO APPROVE OF HER COMING HERE??????? AFTER LOVERS ERA??????? sekarang pun dah kena bash nanti dapat masuk lagi la orang kata agenda lgbt,0,0,0
Jericho,@jafbtbr,2024-02-17T14:31:39.000Z,"Kemanusiaan ga boleh pilih2. Itu hukumnya. Mau palestine, rohingya, uigyur, ukraine, perempuan, difabel, lgbt, dsb...",0,0,0
@Faruq,@Faruq,2024-02-17T14:30:29.000Z,"Kalau diperhati byk kristian tidak menjadi pelaku firman minum arak wujudkan gereja LGBT tidak berkerudung dalam arahan Bible korintus 

Muslim hafal amal baca dan lakukan bukan sekadar mwnghafal aja",0,0,0
mjeylipanbara,@afiqmjey,2024-02-17T14:26:17.000Z,x aku dah mula masuk cite cite dari pihak sana. ade yg siap lukis gmba nabi lagi. menyirap la sia. ad yg condemn msia sbb x sapot lgbt. tefak?!,0,0,0
Manusia,@vara_jaeyong,2024-02-17T14:22:08.000Z,"Ada sedikit part lgbt, tapi sejauh ini bukan yg explisit banget (gua baru nonton 3 ep btw). Yg di highlight komedinya sih sejauh ini.",0,0,0
Mariusz ‍POLSKA!,@Mario1985Polak,2024-02-17T14:19:40.000Z,LGBT....,0,0,0
Aegon the VII,@danstillshit,2024-02-17T14:08:05.000Z,"dulu, lawan atheis, lgbt apapun yang beda pemikiran, urg serang, bahkan ga sedikit kata kasar yang keluar. mungkin ini char. development kali ya.",0,0,0
kufaku,@kodilalala,2024-02-17T14:00:39.000Z,"Ininih yg bikin ngeri didik anak perempuan. Jangan jauh2 dr Tauhid lah, ba'da maghrib wajib ngaji meskipun bocilnya reog. LGBT berkedok pedo itumah",0,0,0
Gomb@k101,Gomb@k101,2024-02-17T13:55:12.000Z,Zaman PN….konsert setiap minggu wooo. Bestnya. Termasuk Billie Ellish yg suka LGBT. Wow bestnya PN. Bila dah jatuh x jadi kerajaan….oh ok Jom cakap pasal Khalifah Umar pulak. Itu lah Pas - Penunggang Agama Sejati.,0,0,0
,@univrs__,2024-02-17T13:51:02.000Z,Isu lgbt ya,0,0,0
javian,@trapexium,2024-02-17T13:50:01.000Z,"Ajgg serius skrng di fase LGBT di normalisasikan? 
Lu mempercepat dunia ini kiamat anjg, thnks.",0,0,0
Ikol Lotieng,@edung_luis,2024-02-17T13:44:48.000Z,Wewe sema tu wewe ni Lgbt,0,0,0
Nevv,@NovitaVvidya,2024-02-17T13:40:35.000Z,"Bukan jawab gua juga!! 
Lu yg hub bendera Palestina dgn lgbt 
Segitu trauma ama homo 
Pasti punya pengalaman dg homo saudara yg satu ini ",0,0,0
Shakal Brian Fuentes,@ShakalHeavy,2024-02-17T13:38:23.000Z,Basadisima,0,0,0
Zubir Ali,@ZubirAl03596168,2024-02-17T13:34:29.000Z,"Tentang LGBT,hanya ahli2 klurga saja faham masalah ni,yg lain TU hanya pandai buat cerita n lawak saja,sama sperti wanita ni,

 Tiada manusia di Dunia ni suka jadi,LBGT tetapi dh di jadikan oleh Allah Ta'ala,jadi suka tk suka terima saja kaum ni tk yah hura hara sana sini.",0,0,0
Apollos,@buduuru,2024-02-17T13:30:34.000Z,Diam Oli Bodo tak perlu bawak LGBT dtg Malaysia lah hanat,0,0,0
M,@isagsi,2024-02-17T13:19:13.000Z,Iy soalnya kan ak lgbt,0,0,0
eni siti aeniah,@gunungceuri,2024-02-17T13:18:46.000Z,Tampaknya pemerintaha amerika dan eropa gencar memberikan pendidikan ttng LGbt ke anak2 sekolah dasar    ..ada unggahan d jerman anak imigran muslim dibawa paksa oleh semacam dinas sosial karena menolak pelajaran tsb,0,0,0
Nevv,@NovitaVvidya,2024-02-17T13:17:31.000Z,"Kgk takut lgbt... Orang ributin bendera Palestina! Lu ributin lgbt 
Kayaknya trauma banget ama homo 
Apa punya keluarga yg homo ",0,0,0
AB SLEMAN,@yogi_bintoro,2024-02-17T13:11:47.000Z,Di sisi lain para lgbt dan boti pada milih anies ,0,0,0
,@flrizn,2024-02-17T13:09:33.000Z,"To be fair, jawaban yg dikasih Anies masalah lgbt itu normatif, sesuai agama yg dia anut. Terkesan ""ngambang"" untuk beberapa kelompok, tapi gak ada yg salah dengan hal itu.",0,0,0
Nevv,@NovitaVvidya,2024-02-17T13:09:11.000Z,"Lu pikir aku takut bendera kayak lu takut lgbt 
Pernah di jamah ama homo ya?! ",0,0,0
Gazoz.V,@GazozV,2024-02-17T13:08:31.000Z,"lgbt disinda iyi gibi 
lgbt yi fazla simartmamak lazim",0,0,0
cau nangka,@DekiWashudin,2024-02-17T13:05:43.000Z,"Bicara LGBT lepas dr masalah agama 
Jk agama menilai hal tsb Krn masalah etika dan melanggar aturan agama 
Kalau pelaku bisa dr mana saja 
Ada kok pelaku dr pemuka agama lain selain Islam 
Pelaku di masrakat luar jg beragam dr berbagai agama",0,0,0
Murciélago,@anklebiterzzz,2024-02-17T13:04:29.000Z,"You can't pick and choose your activism. Sekali nyemplung ya harus konsekuen speak up. Mau itu LGBT kek, feminism kek, pro choice kek. Apalagi ini tu genosida, banyak ibu dan anak perempuan jadi korban. Ya pasti banyak yg kecewa lah",0,0,0
peopleofcolor,@peopleofkolor,2024-02-17T12:57:38.000Z,"Btw soal lgbt itu belum bisa lu masukin buat jadi kunci jawaban, basic science nya aja pseudo . .",0,0,0
rein,@syahsyaraf,2024-02-17T12:55:10.000Z,"*penjelasan dari islam 

Dalam islam semua berkesinambungan yg bermaksud semua ada dalam ajaran kami, mgkn kmu pernah denger ttg ""lgbt dilarang takut kyk zaman nabi Nuh"" Nah, itu ada dalam ajaran kami dan nabi Nuh juga jauh sebelum nabi Muhamad",0,0,0
iman bae,@imanzzet,2024-02-17T12:54:29.000Z,  LGBT,0,0,0
molan,@pisang_molan,2024-02-17T12:51:57.000Z,"Bukan film tapi series LGBT indo pertama. Judulnya Conq, bisa nonton di Vidsee. Cuma 11 ep, ±15-20 menit per eps. Tapi kalo udah nonton ya gapapa nonton lagi aja. ",0,0,0
Bekzod Abdullayev,@bekzodabdullah,2024-02-17T12:44:01.000Z,"Masalan, eshitdikki, AQShda LGBT faollari talabi bilan, yosh bolada savollar paydo bo'la boshlasa, uning qarashi tanqid ostiga olinmaydi. Psixologlar bolaning bu fikri balki bor-yo'g'i qiziqish doirasida bo'lishi mumkinligi haqida xulosa bera olmaydi 3/4",0,0,0
kaeng •ﻌ•,@gegngnge,2024-02-17T12:42:22.000Z,"nggak, dia gak bilang itu fetish dia. libsoftok itu akun yg gak suka sama segala macam yg berhubungan dgn LGBT, makanya akun itu bikin caption seperti itu. not even crazy, just smear campaign sampai akhirnya dikeluarin",0,0,0
p,@unntthpt2,2024-02-17T12:32:58.000Z,Krna jaman skrg klo ga pacaran dkira ga normal (lgbt),0,0,0
